fl-server  | 2025-07-22 03:23:01 - INFO - [mpc_aggregation_strategy.py:136] - [Round 10] 开始MPC指标评估...
fl-server  | 2025-07-22 03:23:01 - INFO - [mpc_aggregation_strategy.py:165] - 解密后的聚合指标(原始值): {'test_acc': 13855000000, 'test_num': 14001000000, 'auc': 13991538674, 'loss': 9563985967721, 'train_num': 55800000000}
fl-server  | 2025-07-22 03:23:01 - INFO - [mpc_aggregation_strategy.py:202] - [Round 10] 全局评估 (MPC): Acc=0.9896, AUC=0.9993, Loss=171.3976
fl-server  | 2025-07-22 03:23:01 - INFO - [server_grpc.py:255] - 训练结束。总耗时: 741.84 秒
fl-server  | 2025-07-22 03:23:01 - INFO - [server_grpc.py:269] - 通信开销 (KB) 汇总:
fl-server  |            Total_KB
fl-server  | 1      7.050387e+05
fl-server  | 2      7.050369e+05
fl-server  | 3      7.050423e+05
fl-server  | Total  2.115118e+06
fl-server  | 2025-07-22 03:23:01 - INFO - [server_grpc.py:282] - 全局模型评估指标汇总:
fl-server  |       Accuracy     AUC       Loss
fl-server  | Round                            
fl-server  | 1       0.9715  0.9967  1390.5707
fl-server  | 2       0.9814  0.9980   805.9978
fl-server  | 3       0.9827  0.9984   626.3895
fl-server  | 4       0.9854  0.9988   449.2553
fl-server  | 5       0.9851  0.9987   463.5838
fl-server  | 6       0.9861  0.9989   448.5896
fl-server  | 7       0.9874  0.9992   251.2683
fl-server  | 8       0.9881  0.9992   248.9690
fl-server  | 9       0.9881  0.9993   193.9213
fl-server  | 10      0.9896  0.9993   171.3976
--------
fl-server  | 2025-07-22 03:57:17 - INFO - [mpc_aggregation_strategy.py:202] - [Round 10] 全局评估 (MPC): Acc=0.9878, AUC=0.9992, Loss=201.2357
fl-server  | 2025-07-22 03:57:17 - INFO - [server_grpc.py:255] - 训练结束。总耗时: 710.34 秒
fl-server  | 2025-07-22 03:57:17 - INFO - [server_grpc.py:269] - 通信开销 (KB) 汇总:
fl-server  |            Total_KB
fl-server  | 1      7.050400e+05
fl-server  | 2      7.050382e+05
fl-server  | 3      7.050395e+05
fl-server  | Total  2.115118e+06
fl-server  | 2025-07-22 03:57:17 - INFO - [server_grpc.py:282] - 全局模型评估指标汇总:
fl-server  |       Accuracy     AUC       Loss
fl-server  | Round                            
fl-server  | 1       0.9742  0.9969  1239.2652
fl-server  | 2       0.9784  0.9973   967.7561
fl-server  | 3       0.9839  0.9985   661.1594
fl-server  | 4       0.9824  0.9987   556.2098
fl-server  | 5       0.9835  0.9988   470.6036
fl-server  | 6       0.9873  0.9990   384.8155
fl-server  | 7       0.9872  0.9990   289.9703
fl-server  | 8       0.9849  0.9988   359.1706
fl-server  | 9       0.9873  0.9993   183.5087
fl-server  | 10      0.9878  0.9992   201.2357
-----------------------------------------------------
fl-server  | 2025-07-22 04:11:37 - INFO - [mpc_aggregation_strategy.py:202] - [Round 10] 全局评估 (MPC): Acc=0.9879, AUC=0.9990, Loss=258.8636
fl-server  | 2025-07-22 04:11:37 - INFO - [server_grpc.py:255] - 训练结束。总耗时: 719.06 秒
fl-server  | 2025-07-22 04:11:37 - INFO - [server_grpc.py:269] - 通信开销 (KB) 汇总:
fl-server  |            Total_KB
fl-server  | 1      7.050386e+05
fl-server  | 2      7.050377e+05
fl-server  | 3      7.050369e+05
fl-server  | Total  2.115113e+06
fl-server  | 2025-07-22 04:11:37 - INFO - [server_grpc.py:282] - 全局模型评估指标汇总:
fl-server  |       Accuracy     AUC       Loss
fl-server  | Round                            
fl-server  | 1       0.9710  0.9963  1370.3566
fl-server  | 2       0.9801  0.9975   913.3664
fl-server  | 3       0.9830  0.9983   587.5393
fl-server  | 4       0.9840  0.9983   573.1121
fl-server  | 5       0.9826  0.9984   512.5356
fl-server  | 6       0.9852  0.9986   372.7100
fl-server  | 7       0.9882  0.9989   322.0502
fl-server  | 8       0.9859  0.9987   290.3732
fl-server  | 9       0.9883  0.9991   190.4165
fl-server  | 10      0.9879  0.9990   258.8636
fl-server  | 2025-07-22 04:11:37 - INFO - [server_grpc.py:143] - [Round 10] 客户端 3 检查训练状态，当前next_step=True, count=0
