fl-server  | 2025-07-22 06:00:02 - INFO - [server_grpc.py:255] - 训练结束。总耗时: 219.39 秒
fl-server  | 2025-07-22 06:00:02 - INFO - [server_grpc.py:269] - 通信开销 (KB) 汇总:
fl-server  |            Total_KB
fl-server  | 1      22741.189453
fl-server  | 2      22741.189453
fl-server  | 3      22741.189453
fl-server  | Total  68223.568359
fl-server  | 2025-07-22 06:00:02 - INFO - [server_grpc.py:282] - 全局模型评估指标汇总:
fl-server  |       Accuracy     AUC    Loss
fl-server  | Round                         
fl-server  | 1       0.9710  0.9963  0.0737
fl-server  | 2       0.9788  0.9974  0.0506
fl-server  | 3       0.9837  0.9983  0.0322
fl-server  | 4       0.9839  0.9982  0.0326
fl-server  | 5       0.9836  0.9984  0.0248
fl-server  | 6       0.9839  0.9984  0.0245
fl-server  | 7       0.9890  0.9989  0.0152
fl-server  | 8       0.9871  0.9990  0.0133
fl-server  | 9       0.9894  0.9991  0.0116
fl-server  | 10      0.9868  0.9990  0.0154
fl-server  | 2025-07-22 06:00:03 - INFO - [server_grpc.py:143] - [Round 10] 客户端 1 检查训练状态，当前next_step=True, count=0
fl-server  | 2025-07-22 06:00:03 - INFO - [server_grpc.py:148] - [Round 10] 客户端 1 获得训练许可，count增加到 1/3
fl-server  | 2025-07-22 06:00:03 - INFO - [server_grpc.py:230] - 向客户端 1 提供第10轮全局模型
fl-server  | 2025-07-22 06:00:03 - INFO - [server_grpc.py:143] - [Round 10] 客户端 2 检查训练状态，当前next_step=True, count=1
fl-server  | 2025-07-22 06:00:03 - INFO - [server_grpc.py:148] - [Round 10] 客户端 2 获得训练许可，count增加到 2/3
fl-server  | 2025-07-22 06:00:03 - INFO - [server_grpc.py:230] - 向客户端 2 提供第10轮全局模型
fl-server  | 2025-07-22 06:00:03 - INFO - [server_grpc.py:143] - [Round 10] 客户端 3 检查训练状态，当前next_step=True, count=2
fl-server  | 2025-07-22 06:00:03 - INFO - [server_grpc.py:148] - [Round 10] 客户端 3 获得训练许可，count增加到 3/3
fl-server  | 2025-07-22 06:00:03 - INFO - [server_grpc.py:152] - [Round 10] 所有客户端已获得训练许可，重置next_step=False, count=0
fl-server  | 2025-07-22 06:00:03 - INFO - [server_grpc.py:230] - 向客户端 3 提供第10轮全局模型
--------------------------------------------------------------------------------------------------
fl-server  | 2025-07-22 06:33:03 - INFO - [server_grpc.py:255] - 训练结束。总耗时: 218.34 秒
fl-server  | 2025-07-22 06:33:03 - INFO - [server_grpc.py:269] - 通信开销 (KB) 汇总:
fl-server  |            Total_KB
fl-server  | 1      22741.189453
fl-server  | 2      22741.189453
fl-server  | 3      22741.189453
fl-server  | Total  68223.568359
fl-server  | 2025-07-22 06:33:03 - INFO - [server_grpc.py:282] - 全局模型评估指标汇总:
fl-server  |       Accuracy     AUC    Loss
fl-server  | Round                         
fl-server  | 1       0.9715  0.9967  0.0748
fl-server  | 2       0.9816  0.9981  0.0427
fl-server  | 3       0.9822  0.9984  0.0351
fl-server  | 4       0.9860  0.9989  0.0225
fl-server  | 5       0.9854  0.9987  0.0239
fl-server  | 6       0.9868  0.9989  0.0207
fl-server  | 7       0.9876  0.9992  0.0127
fl-server  | 8       0.9885  0.9992  0.0118
fl-server  | 9       0.9884  0.9993  0.0110
fl-server  | 10      0.9886  0.9992  0.0111
-----
fl-server  | 2025-07-22 09:34:32 - INFO - [none_aggregation_strategy.py:111] - [Round 10] 全局评估: Acc=0.9870, AUC=0.9990, Loss=0.0139
fl-server  | 2025-07-22 09:34:32 - INFO - [server_grpc.py:255] - 训练结束。总耗时: 213.17 秒
fl-server  | 2025-07-22 09:34:32 - INFO - [server_grpc.py:269] - 通信开销 (KB) 汇总:
fl-server  |            Total_KB
fl-server  | 1      22741.189453
fl-server  | 2      22741.189453
fl-server  | 3      22741.189453
fl-server  | Total  68223.568359
fl-server  | 2025-07-22 09:34:32 - INFO - [server_grpc.py:282] - 全局模型评估指标汇总:
fl-server  |       Accuracy     AUC    Loss
fl-server  | Round                         
fl-server  | 1       0.9710  0.9963  0.0737
fl-server  | 2       0.9791  0.9974  0.0502
fl-server  | 3       0.9826  0.9983  0.0325
fl-server  | 4       0.9846  0.9983  0.0303
fl-server  | 5       0.9820  0.9984  0.0274
fl-server  | 6       0.9839  0.9984  0.0249
fl-server  | 7       0.9891  0.9989  0.0151
fl-server  | 8       0.9876  0.9989  0.0137
fl-server  | 9       0.9893  0.9992  0.0098
fl-server  | 10      0.9870  0.9990  0.0139
