fl-server  | 2025-07-22 08:17:38 - INFO - [server_grpc.py:255] - 训练结束。总耗时: 228.26 秒
fl-server  | 2025-07-22 08:17:38 - INFO - [server_grpc.py:269] - 通信开销 (KB) 汇总:
fl-server  |            Total_KB
fl-server  | 1      22744.011719
fl-server  | 2      22744.011719
fl-server  | 3      22744.011719
fl-server  | Total  68232.035156
fl-server  | 2025-07-22 08:17:38 - INFO - [server_grpc.py:282] - 全局模型评估指标汇总:
fl-server  |       Accuracy     AUC    Loss
fl-server  | Round                         
fl-server  | 1       0.9715  0.9967  0.0748
fl-server  | 2       0.9819  0.9981  0.0425
fl-server  | 3       0.9821  0.9984  0.0328
fl-server  | 4       0.9856  0.9988  0.0230
fl-server  | 5       0.9843  0.9986  0.0259
fl-server  | 6       0.9869  0.9990  0.0205
fl-server  | 7       0.9875  0.9991  0.0134
fl-server  | 8       0.9881  0.9992  0.0121
fl-server  | 9       0.9871  0.9992  0.0140
fl-server  | 10      0.9887  0.9991  0.0101
-------------------------------------------------
fl-server  | 2025-07-22 08:38:35 - INFO - [server_grpc.py:255] - 训练结束。总耗时: 238.40 秒
fl-server  | 2025-07-22 08:38:35 - INFO - [server_grpc.py:269] - 通信开销 (KB) 汇总:
fl-server  |            Total_KB
fl-server  | 1      22744.011719
fl-server  | 2      22744.011719
fl-server  | 3      22744.011719
fl-server  | Total  68232.035156
fl-server  | 2025-07-22 08:38:35 - INFO - [server_grpc.py:282] - 全局模型评估指标汇总:
fl-server  |       Accuracy     AUC    Loss
fl-server  | Round                         
fl-server  | 1       0.9742  0.9969  0.0666
fl-server  | 2       0.9775  0.9973  0.0527
fl-server  | 3       0.9842  0.9986  0.0339
fl-server  | 4       0.9826  0.9986  0.0304
fl-server  | 5       0.9842  0.9988  0.0251
fl-server  | 6       0.9871  0.9990  0.0211
fl-server  | 7       0.9870  0.9990  0.0164
fl-server  | 8       0.9863  0.9988  0.0174
fl-server  | 9       0.9876  0.9992  0.0103
fl-server  | 10      0.9891  0.9991  0.0124
-------------------------------------------------
fl-server  | 2025-07-22 08:58:54 - INFO - [tee_aggregation_strategy.py:140] - [Round 10] 全局评估 (TEE): Acc=0.9871, AUC=0.9990, Loss=0.0159
fl-server  | 2025-07-22 08:58:54 - INFO - [server_grpc.py:255] - 训练结束。总耗时: 256.95 秒
fl-server  | 2025-07-22 08:58:54 - INFO - [server_grpc.py:269] - 通信开销 (KB) 汇总:
fl-server  |            Total_KB
fl-server  | 1      22744.011719
fl-server  | 2      22744.011719
fl-server  | 3      22744.011719
fl-server  | Total  68232.035156
fl-server  | 2025-07-22 08:58:54 - INFO - [server_grpc.py:282] - 全局模型评估指标汇总:
fl-server  |       Accuracy     AUC    Loss
fl-server  | Round                         
fl-server  | 1       0.9710  0.9963  0.0737
fl-server  | 2       0.9791  0.9974  0.0502
fl-server  | 3       0.9826  0.9983  0.0325
fl-server  | 4       0.9846  0.9983  0.0303
fl-server  | 5       0.9818  0.9984  0.0274
fl-server  | 6       0.9844  0.9985  0.0226
fl-server  | 7       0.9884  0.9989  0.0161
fl-server  | 8       0.9867  0.9988  0.0146
fl-server  | 9       0.9889  0.9990  0.0109
fl-server  | 10      0.9871  0.9990  0.0159
